repo,pr_number,dependency,old_version,new_version,ecosystem,before_sha,after_sha,before_result,after_result,classification,failure_point,reproduced,confidence,reproduction_attempts,network_policy,log_paths,notes,created_at,title,created_at,source_dataset
glovguy/flask-chat-bots,249,werkzeug,0.12.2,0.15.5,pip,2383e9d63fc53882589b8898d58ea9a0c9e6a80d,ddaa03e12b018bf625fa22b99dba36c7b1017c8e,UNRUNNABLE,UNRUNNABLE,UNRUNNABLE,,0,medium,1,,[],,2026-07-23 18:02:29,[Security] Bump werkzeug from 0.12.2 to 0.15.5,2019-07-18 22:56:00,partition1_xlsx
glovguy/flask-chat-bots,257,python-engineio,1.5.2,3.9.0,pip,2383e9d63fc53882589b8898d58ea9a0c9e6a80d,d9e6ace7f6705337aa98e50e9c4145fa0c0f8346,UNRUNNABLE,UNRUNNABLE,UNRUNNABLE,,0,medium,1,,[],,2026-07-23 18:02:32,[Security] Bump python-engineio from 1.5.2 to 3.9.0,2019-07-30 10:15:00,partition1_xlsx
glovguy/flask-chat-bots,215,flask,0.12.2,0.12.3,pip,2383e9d63fc53882589b8898d58ea9a0c9e6a80d,3341cd05ddf2aa50ca2164f30c1024bfdf84dd93,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr215\\glovguy__flask-chat-bots__pr215__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr215\\glovguy__flask-chat-bots__pr215__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr215\\glovguy__flask-chat-bots__pr215__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr215\\glovguy__flask-chat-bots__pr215__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-23 18:06:28,[Security] Bump flask from 0.12.2 to 0.12.3,2019-05-20 10:12:29,partition1_xlsx
raihan-uddin/Django-Web-Board-Project,23,django,1.11.0,1.11.20,pip,a1cd060b3d250c550395c2391c8f856c2f72cf07,25d708d30f38817581fd796124c868014f8b6658,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr23\\raihan-uddin__Django-Web-Board-Project__pr23__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr23\\raihan-uddin__Django-Web-Board-Project__pr23__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr23\\raihan-uddin__Django-Web-Board-Project__pr23__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr23\\raihan-uddin__Django-Web-Board-Project__pr23__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 01:57:47,[Security] Bump django from 1.11.0 to 1.11.20,2019-05-01 23:12:19,partition1_xlsx
raihan-uddin/Django-Web-Board-Project,25,django,1.11.0,1.11.21,pip,a1cd060b3d250c550395c2391c8f856c2f72cf07,d448f6af4d34a3eab24965aed446ed7f7f1147ed,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr25\\raihan-uddin__Django-Web-Board-Project__pr25__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr25\\raihan-uddin__Django-Web-Board-Project__pr25__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr25\\raihan-uddin__Django-Web-Board-Project__pr25__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\raihan-uddin__Django-Web-Board-Project__pr25\\raihan-uddin__Django-Web-Board-Project__pr25__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 01:58:19,[Security] Bump django from 1.11.0 to 1.11.21,2019-06-10 23:12:00,partition1_xlsx
Contrast-Security-OSS/DjanGoat,71,django,1.11.1,1.11.20,pip,686f09dcd8f7e70acf9edefaae81448f8175caad,8db1a2e18e88f4d77a01cb171b5198ffb23a1d2f,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr71\\Contrast-Security-OSS__DjanGoat__pr71__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr71\\Contrast-Security-OSS__DjanGoat__pr71__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr71\\Contrast-Security-OSS__DjanGoat__pr71__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr71\\Contrast-Security-OSS__DjanGoat__pr71__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 01:59:37,[Security] Bump django from 1.11.1 to 1.11.20,2019-05-01 13:24:33,partition1_xlsx
Contrast-Security-OSS/DjanGoat,79,django,1.11.1,1.11.21,pip,c8bd31bbb6bf87ca33aca5a5a4169b67c353626d,fc2fffa6418f7ece0ad453c14cc3852e2b28d7e4,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr79\\Contrast-Security-OSS__DjanGoat__pr79__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr79\\Contrast-Security-OSS__DjanGoat__pr79__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr79\\Contrast-Security-OSS__DjanGoat__pr79__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Contrast-Security-OSS__DjanGoat__pr79\\Contrast-Security-OSS__DjanGoat__pr79__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:00:52,[Security] Bump django from 1.11.1 to 1.11.21,2019-07-01 15:43:00,partition1_xlsx
seanwiseman/django-easy-auth,21,django,2.0.1,2.0.12,pip,3d15a948da1c08ff9cec98d00f219d124a014cf4,17c3e7c984e7561a00d4418d210beb56146a1aab,TEST,TEST,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__BEFORE__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__BEFORE__TEST__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__AFTER__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__AFTER__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr21\\seanwiseman__django-easy-auth__pr21__AFTER__TEST__att1.stderr.txt""]",,2026-07-24 02:02:55,[Security] Bump django from 2.0.1 to 2.0.12,2019-05-02 05:14:45,partition1_xlsx
Squalex/life,58,django,2.0.1,2.0.12,pip,09101c90dde5e0d8a32e5d1a4639b35094730259,343cbe52b5f2040069393ac6b57d514698802d70,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Squalex__life__pr58\\Squalex__life__pr58__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr58\\Squalex__life__pr58__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr58\\Squalex__life__pr58__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr58\\Squalex__life__pr58__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:03:37,[Security] Bump django from 2.0.1 to 2.0.12,2019-05-02 05:15:56,partition1_xlsx
Rotendahl/DormitoryLife,49,django,2.1.2,2.1.5,pip,a3bb0b947529864e4aa59c2c24c554c3edb7753b,d3a9c1242c49652ae7508f2f152168b58501c1ac,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr49\\Rotendahl__DormitoryLife__pr49__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr49\\Rotendahl__DormitoryLife__pr49__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr49\\Rotendahl__DormitoryLife__pr49__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr49\\Rotendahl__DormitoryLife__pr49__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:04:42,[Security] Bump django from 2.1.2 to 2.1.5,2019-01-14 16:22:37,partition1_xlsx
Rotendahl/DormitoryLife,118,django,2.2.2,2.2.4,pip,41058b73060610852e5820044552588af7d9f3ec,b22278d57edabfb2879509e9064beace7a96a9bf,TEST,TEST,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__BEFORE__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__BEFORE__TEST__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__AFTER__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__AFTER__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr118\\Rotendahl__DormitoryLife__pr118__AFTER__TEST__att1.stderr.txt""]",,2026-07-24 02:11:19,[Security] Bump django from 2.2.2 to 2.2.4,2019-08-06 01:50:00,partition1_xlsx
katiayn/pyconbalkan,35,django,1.11.11,1.11.20,pip,9749011db63078210f0bbfde0b42267749483bd9,f41ea5d5260fb567a9dd5c58a160556d67b40f13,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr35\\katiayn__pyconbalkan__pr35__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr35\\katiayn__pyconbalkan__pr35__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr35\\katiayn__pyconbalkan__pr35__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr35\\katiayn__pyconbalkan__pr35__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:14:11,build(deps): [security] bump django from 1.11.11 to 1.11.20,2019-05-06 04:51:13,partition1_xlsx
